Sample_ID,Date,Station,pH,EC (µS/cm),TDS (mg/L),Hardness (mg/L),Bacteria Count (CFU/mL),Pesticide Level (µg/L)
5,2025-05-25,Korlagunta,7.9,479.71,484.25,327.72,130,0.688
10,2025-05-26,Korlagunta,7.26,813.4,488.54,438.35,81,0.432
15,2025-05-27,Korlagunta,7.82,873.8,726.69,291.66,100,0.777
20,2025-05-28,Korlagunta,6.95,710.88,291.99,274.95,74,0.259
25,2025-05-29,Korlagunta,7.22,556.36,173.98,332.87,129,0.329
30,2025-05-30,Korlagunta,7.93,613.8,212.51,432.16,127,0.414
35,2025-05-31,Korlagunta,7.03,1108.7,544.18,152.76,98,0.779
40,2025-06-01,Korlagunta,7.49,475.72,619.59,234.23,34,0.615
45,2025-06-02,Korlagunta,7.74,622.78,315.21,238.59,16,0.679
50,2025-06-03,Korlagunta,8.0,525.23,175.24,240.98,100,0.418
55,2025-06-04,Korlagunta,7.42,515.81,211.02,204.86,116,0.511
60,2025-06-05,Korlagunta,7.17,313.77,756.73,300.31,68,0.547
65,2025-06-06,Korlagunta,7.75,606.56,319.45,298.81,57,0.557
70,2025-06-07,Korlagunta,6.82,1114.84,209.34,245.79,127,0.386
75,2025-06-08,Korlagunta,7.79,373.21,205.14,445.99,108,0.297
80,2025-06-09,Korlagunta,7.54,692.7,671.37,443.37,60,0.258
85,2025-06-10,Korlagunta,7.12,539.34,384.22,227.98,144,0.224
90,2025-06-11,Korlagunta,6.89,333.14,237.0,154.1,54,0.692
95,2025-06-12,Korlagunta,8.16,379.57,664.68,326.99,46,0.336
100,2025-06-13,Korlagunta,7.14,368.28,233.77,188.41,94,0.32
105,2025-06-14,Korlagunta,6.91,1086.22,748.57,168.32,25,0.695
110,2025-06-15,Korlagunta,7.1,594.75,227.85,417.16,24,0.543
115,2025-06-16,Korlagunta,8.06,372.21,490.93,273.12,35,0.798
120,2025-06-17,Korlagunta,7.25,834.49,390.0,286.28,4,0.051
125,2025-06-18,Korlagunta,7.91,481.46,256.38,199.28,4,0.189
130,2025-06-19,Korlagunta,7.91,858.07,496.75,418.17,37,0.602
135,2025-06-20,Korlagunta,7.05,1117.61,529.2,270.26,46,0.23
140,2025-06-21,Korlagunta,6.97,1128.76,715.43,305.65,142,0.319
145,2025-06-22,Korlagunta,8.15,433.8,419.51,175.6,103,0.402
150,2025-06-23,Korlagunta,7.92,1181.04,695.86,410.1,7,0.022
